lat,lng,franchise,store
37.5113961,127.0939363,스타벅스,스타벅스 갤러리아 팰리스점
37.5407625,127.0793428,스타벅스,스타벅스 건국대점
37.5407625,127.0793428,스타벅스,스타벅스 건국대점
37.5385389,127.0730169,스타벅스,스타벅스 건대스타씨티점
37.5406354,127.0707535,스타벅스,스타벅스 건대후문
37.56368,126.9646,스타벅스,스타벅스 경기대점
37.5755477,126.9802257,스타벅스,스타벅스 경복궁사거리점
37.5771547,126.9725464,스타벅스,스타벅스 경복궁역점
37.5712378,126.9681688,스타벅스,스타벅스 경희궁로점
37.5915221,127.0520209,스타벅스,스타벅스 경희대삼거리점
37.592892,127.052752,스타벅스,스타벅스 경희대점
37.5838912,127.0296926,스타벅스,스타벅스 고대점
37.545937,126.952967,스타벅스,스타벅스 공덕
37.542717,126.950624,스타벅스,스타벅스 공덕오거리점
37.6263614,127.0722671,스타벅스,스타벅스 공릉역점
37.6206884,127.0743116,스타벅스,스타벅스 공릉DT점
37.4792788,126.9526694,스타벅스,스타벅스 관악서울대입구R점
37.5473667,127.106064,스타벅스,스타벅스 광나루점
37.6231479,127.0607009,스타벅스,스타벅스 광운대점
37.5699357,126.9783077,스타벅스,스타벅스 광화문우체국
37.5704045,126.9791015,스타벅스,스타벅스 광화문D타워점
37.4963206,127.0133771,스타벅스,스타벅스 교대법원점
37.4942069,127.0139908,스타벅스,스타벅스 교대역점
37.4923513,127.0142164,스타벅스,스타벅스 교대점
37.4968998,126.8629898,스타벅스,스타벅스 구로고척점
37.4856641,126.8955021,스타벅스,스타벅스 구로디지털로점
37.4834598,126.8968488,스타벅스,스타벅스 구로디지털타워점
37.4954031,126.887369,스타벅스,스타벅스 구로에이스점
37.48174,126.89344,스타벅스,스타벅스 구로하이엔드점
37.4831293,126.8988591,스타벅스,스타벅스 구로호텔점
37.5012056,126.8827953,스타벅스,스타벅스 구로NC점
37.6116886,126.9176414,스타벅스,스타벅스 구산역점
37.5369207,127.0840156,스타벅스,스타벅스 구의역점
37.5453173,127.0872174,스타벅스,스타벅스 구의DT점
37.6396723,126.918779,스타벅스,스타벅스 구파발사거리
37.6344395,126.9188524,스타벅스,스타벅스 구파발역점
37.501965,127.0302469,스타벅스,스타벅스 국기원사거리점
37.5664597,127.0063505,스타벅스,스타벅스 국립중앙의료원점
37.5304488,126.919561,스타벅스,스타벅스 국회대로점
37.5278274,126.91686,스타벅스,스타벅스 국회의사당역점
37.5575666,127.079334,스타벅스,스타벅스 군자사거리점
37.5569511,127.0790881,스타벅스,스타벅스 군자역점
37.5544879,127.144395,스타벅스,스타벅스 굽은다리역점
37.4559887,126.8956711,스타벅스,스타벅스 금천구청역점
37.468955,126.895603,스타벅스,스타벅스 금천독산점
37.4488601,126.903246,스타벅스,스타벅스 금천시흥점
37.5479939,127.0153343,스타벅스,스타벅스 금호역점
37.5386789,127.1400495,스타벅스,스타벅스 길동역점
37.6019694,127.0252982,스타벅스,스타벅스 길음역점
37.532287,126.8460833,스타벅스,스타벅스 까치산역점
37.4776649,126.9611926,스타벅스,스타벅스 낙성대역점
37.476126,126.965002,스타벅스,스타벅스 낙성대DT점
37.5743455,126.9188972,스타벅스,스타벅스 남가좌사거리점
37.4843511,127.0142183,스타벅스,스타벅스 남부터미널2점
37.4850164,127.0169155,스타벅스,스타벅스 남부터미널점
37.55854,126.97546,스타벅스,스타벅스 남산단암점
37.4841211,126.9726489,스타벅스,스타벅스 남성역점
37.5428345,126.9722825,스타벅스,스타벅스 남영동
37.5546422,126.834636,스타벅스,스타벅스 내발산점
37.4900694,126.9924381,스타벅스,스타벅스 내방역점
37.5131217,126.9469866,스타벅스,스타벅스 노량진동점
37.5133481,126.9408863,스타벅스,스타벅스 노량진역점
37.6610534,127.0580043,스타벅스,스타벅스 노원마들역점
37.6547298,127.0600029,스타벅스,스타벅스 노원역점
37.6545399,127.0629813,스타벅스,스타벅스 노원케이티(KT)점
37.5110261,127.0217921,스타벅스,스타벅스 논현역사거리점
37.511596,127.020654,스타벅스,스타벅스 논현역점
37.5684656,127.0511062,스타벅스,스타벅스 답십리역점
37.5331208,126.9038043,스타벅스,스타벅스 당산대로점
37.533948,126.9010796,스타벅스,스타벅스 당산역사거리점
37.5350961,126.8999555,스타벅스,스타벅스 당산점
37.556585,126.97513,스타벅스,스타벅스 대우재단빌딩점
37.503314,127.058851,스타벅스,스타벅스 대치사거리점
37.4994914,127.0610527,스타벅스,스타벅스 대치삼성프라자점
37.4989533,127.0602651,스타벅스,스타벅스 대치은마사거리점
37.4994914,127.0610527,스타벅스,스타벅스 대치재경빌딩R
37.4984818,127.052066,스타벅스,스타벅스 대치한티점
